stud.id,cl1,cl2,cl3,cl4,total,cluster
4,14,20,36,4,74,1
5,7,25,17,11,60,2
6,19,20,33,7,79,1
10,9,19,21,11,60,2
11,6,12,10,13,41,3
12,17,25,25,5,72,1
13,13,16,29,1,59,2
16,9,15,24,2,50,2
17,14,20,8,18,60,1
18,14,28,36,15,93,1
20,8,13,25,9,55,2
21,15,11,22,10,58,1
24,20,23,9,8,60,1
29,18,23,20,4,65,1
30,3,20,5,1,29,3
32,1,19,11,1,32,3
33,10,10,7,3,30,3
34,3,22,19,5,49,2
36,0,9,3,0,12,4
38,10,21,26,6,63,2
39,0,3,0,0,3,4
40,3,12,5,0,20,4
41,10,24,40,8,82,1
42,0,6,2,1,9,4
43,5,15,5,3,28,3
45,4,21,19,3,47,2
46,8,17,22,7,54,2
47,7,16,7,1,31,3
49,13,23,24,0,60,2
50,9,9,18,3,39,2
51,0,13,2,1,16,4
52,3,12,11,4,30,3
53,9,16,16,3,44,2
57,3,7,13,12,35,3
58,7,20,28,6,61,2
60,1,12,10,0,23,3
61,0,12,2,1,15,4
62,1,17,5,1,24,3
63,5,15,16,6,42,2
64,5,18,4,3,30,3
65,6,15,3,2,26,3
66,3,16,5,2,26,3
67,0,2,2,0,4,4
68,10,19,21,2,52,2
70,4,13,10,4,31,3
72,3,0,5,2,10,4
74,6,18,7,4,35,3
76,1,7,6,3,17,4
77,5,22,12,1,40,3
78,5,17,4,8,34,3
79,1,20,8,4,33,3
80,8,20,9,8,45,3
81,4,12,7,4,27,3
83,6,23,3,5,37,3
85,2,22,5,0,29,3
86,0,16,0,1,17,4
87,1,17,7,4,29,3
89,7,12,27,8,54,2
90,5,6,7,2,20,3
92,17,32,16,17,82,1
94,4,9,3,4,20,4
95,2,17,5,2,26,3
96,9,12,4,3,28,3
97,1,14,2,0,17,4
99,3,24,18,1,46,2
100,1,17,2,4,24,3
102,1,6,2,0,9,4
104,5,17,7,3,32,3
105,2,22,10,7,41,3
106,0,10,5,1,16,4
107,18,21,23,11,73,1
108,5,21,9,1,36,3
109,3,13,1,0,17,4
111,27,22,21,6,76,1
114,19,18,19,15,71,1
117,2,10,6,3,21,4
118,2,12,0,0,14,4
119,8,15,6,4,33,3
121,1,4,1,0,6,4
122,8,21,19,7,55,2
123,5,17,12,3,37,3
125,12,23,9,1,45,2
127,2,16,7,3,28,3
128,13,23,18,5,59,2
130,10,10,23,7,50,2
132,2,15,6,3,26,3
133,2,12,3,2,19,4
134,10,19,16,4,49,2
135,6,14,25,19,64,1
136,12,21,18,12,63,2
137,14,17,20,11,62,1
138,1,10,3,2,16,4
139,16,23,18,8,65,1
141,6,17,11,7,41,3
142,4,20,27,9,60,2
144,11,15,22,5,53,2
146,43,8,40,1,92,1
147,15,11,3,7,36,3
148,11,16,18,1,46,2
149,10,26,21,3,60,2
150,2,11,2,2,17,4
151,12,22,18,1,53,2
152,5,23,11,0,39,3
154,14,20,13,10,57,1
155,15,30,23,22,90,1
156,0,1,0,0,1,4
157,8,20,17,4,49,2
158,9,8,10,2,29,3
159,8,1,4,11,24,3
160,5,22,18,6,51,2
161,4,8,2,1,15,4
162,2,19,0,3,24,3
164,4,14,14,3,35,3
165,2,13,2,2,19,4
166,23,11,18,8,60,1
167,6,17,11,2,36,3
169,8,6,9,9,32,3
170,1,3,6,4,14,4
172,22,24,49,11,106,1
174,0,21,9,2,32,3
175,0,1,1,1,3,4
176,9,20,10,3,42,2
177,5,15,25,2,47,2
178,4,16,13,1,34,3
180,9,21,20,13,63,2
181,0,15,5,2,22,3
182,7,12,2,5,26,3
183,20,21,14,7,62,1
184,2,24,14,4,44,3
185,2,16,13,12,43,2
186,2,16,2,1,21,4
187,6,19,12,2,39,3
188,7,20,22,3,52,2
189,7,21,10,9,47,3
190,0,22,10,4,36,3
191,3,18,7,2,30,3
192,0,22,18,9,49,2
193,2,36,11,7,56,3
194,4,12,16,6,38,2
195,17,16,12,6,51,2
196,4,19,6,11,40,3
197,3,13,11,1,28,3
198,2,19,5,1,27,3
199,2,14,3,1,20,4
200,1,18,7,3,29,3
201,2,19,5,3,29,3
202,5,27,8,2,42,3
204,1,7,2,3,13,4
205,4,19,10,2,35,3
206,0,31,9,5,45,3
207,7,14,12,4,37,3
208,7,9,9,6,31,3
209,4,14,6,13,37,3
210,15,8,16,11,50,1
211,4,17,2,8,31,3
213,14,23,14,4,55,2
215,3,14,20,6,43,2
216,10,14,13,5,42,2
217,5,21,10,8,44,3
218,4,12,12,0,28,3
219,7,12,1,3,23,3
220,4,25,17,20,66,1
222,7,24,20,4,55,2
223,3,21,13,3,40,3
224,11,8,7,3,29,3
226,9,19,19,13,60,2
227,1,23,20,8,52,2
228,31,54,32,8,125,1
229,5,15,3,0,23,4
230,3,16,9,0,28,3
232,2,17,18,5,42,2
234,4,18,6,1,29,3
235,1,14,6,1,22,3
236,5,17,9,5,36,3
237,3,16,6,1,26,3
239,5,22,8,5,40,3
240,12,15,24,8,59,2
241,17,17,12,3,49,2
242,8,18,16,8,50,2
243,4,16,5,6,31,3
244,3,4,5,0,12,4
245,1,14,1,3,19,4
247,6,13,4,6,29,3
248,5,20,17,4,46,2
249,3,15,3,2,23,4
252,2,12,3,5,22,4
254,1,7,7,0,15,4
256,3,6,6,0,15,4
257,16,28,23,8,75,1
258,1,5,4,3,13,4
259,4,12,12,4,32,3
260,4,3,6,0,13,4
261,3,18,6,8,35,3
262,0,12,4,1,17,4
263,19,19,24,5,67,1
266,18,20,20,12,70,1
267,2,17,7,0,26,3
268,0,2,6,1,9,4
269,1,13,8,11,33,3
272,11,20,16,2,49,2
274,6,25,21,5,57,2
275,3,16,3,4,26,3
281,3,7,4,4,18,4
282,6,8,8,2,24,3
283,4,17,7,3,31,3
285,3,21,13,1,38,3
287,6,21,11,7,45,3
288,8,13,13,2,36,3
289,4,24,10,2,40,3
290,2,1,1,3,7,4
291,7,16,5,13,41,3
292,7,28,14,6,55,2
295,1,8,3,1,13,4
296,3,20,6,4,33,3
298,1,19,5,11,36,3
299,4,1,2,2,9,4
300,24,19,12,13,68,1
301,2,21,8,8,39,3
302,2,17,14,9,42,2
303,1,6,5,1,13,4
304,26,26,25,10,87,1
305,7,23,23,5,58,2
306,26,19,19,10,74,1
308,1,8,2,0,11,4
310,23,23,36,24,106,1
311,12,30,28,7,77,1
312,0,19,9,5,33,3
313,12,20,12,3,47,2
314,1,14,9,1,25,3
316,6,18,6,3,33,3
317,15,21,3,3,42,2
319,7,18,14,6,45,2
320,0,15,4,0,19,4
322,6,10,3,0,19,4
323,0,17,1,2,20,4
324,0,18,6,0,24,3
325,6,21,11,9,47,3
327,0,10,1,1,12,4
328,7,12,10,10,39,3
329,6,22,18,1,47,2
331,5,15,3,1,24,4
332,2,15,3,1,21,4
333,15,13,30,24,82,1
334,7,26,15,8,56,2
337,9,23,31,10,73,1
338,0,21,4,3,28,3
339,8,23,21,1,53,2
340,2,8,7,1,18,4
342,9,22,14,17,62,1
343,1,18,11,1,31,3
344,5,19,14,9,47,2
345,5,15,20,10,50,2
346,15,19,12,4,50,2
347,7,24,8,18,57,1
350,20,19,10,8,57,1
351,25,19,30,4,78,1
352,5,19,16,8,48,2
358,8,13,10,3,34,3
360,0,16,6,3,25,3
362,19,25,30,16,90,1
366,6,10,2,0,18,4
370,1,15,31,9,56,2
371,4,13,3,1,21,4
372,10,26,18,6,60,2
373,6,18,17,1,42,2
374,1,20,7,0,28,3
375,11,12,8,4,35,3
378,16,32,22,3,73,1
379,0,12,1,3,16,4
380,2,17,8,5,32,3
381,3,17,7,5,32,3
382,5,12,3,1,21,4
383,17,14,8,16,55,1
384,4,18,11,6,39,3
386,2,7,5,0,14,4
387,6,9,4,5,24,3
388,1,16,11,5,33,3
390,5,12,6,5,28,3
391,3,20,13,3,39,3
392,6,17,10,5,38,3
394,3,16,11,7,37,3
396,2,14,4,0,20,4
398,6,13,9,5,33,3
399,20,35,33,5,93,1
401,1,14,5,11,31,3
403,4,21,6,4,35,3
406,13,11,16,4,44,2
407,6,20,15,5,46,2
409,7,22,37,13,79,1
410,12,15,13,0,40,2
